UF;Cidade;Bairro
RO;Ariquemes;Setor 02
RO;Ariquemes;Jardim Primavera
RO;Ariquemes;Setor 06
RO;Ariquemes;Jardim das Palmeiras
RO;Ariquemes;Jardim Zona Sul
RO;Ariquemes;Setor 09
RO;Ariquemes;Nova Londrina
RO;Ariquemes;Pedras
RO;Ariquemes;Industrial Jamari
RO;Ariquemes;Jardim Jorge Teixeira
RO;Ariquemes;Grandes Áreas
RO;Ariquemes;Apoio Rodoviário Sul
RO;Ariquemes;Monte Cristo
RO;Ariquemes;Parque das Gemas
RO;Ariquemes;Apoio BR-421
RO;Ariquemes;Setor 01
RO;Ariquemes;Setor 03
RO;Ariquemes;Áreas Especiais
RO;Ariquemes;Setor 05
RO;Ariquemes;BNH
RO;Ariquemes;Jardim Paulista
RO;Ariquemes;Áreas Especiais 01
RO;Ariquemes;Jardim Europa
RO;Ariquemes;Nova União 03
RO;Ariquemes;Jardim Paraná
RO;Ariquemes;Setor Institucional
RO;Ariquemes;Áreas Especiais 02
RO;Ariquemes;Setor Recreativo
RO;Ariquemes;Setor 08
RO;Ariquemes;Setor 04
RO;Ariquemes;Rota do Sol
RO;Ariquemes;Setor 11
RO;Ariquemes;Colonial
RO;Ariquemes;Polo Moveleiro de Ariquemes
RO;Ariquemes;Bom Jesus
RO;Ariquemes;São Luiz
RO;Ariquemes;Coqueiral
RO;Ariquemes;Setor 10
RO;Ariquemes;Flores
RO;Ariquemes;Marechal Rondon 01
RO;Ariquemes;Jamari
RO;Ariquemes;Apoio Rodoviário
RO;Ariquemes;Apoio BR-364
RO;Ariquemes;Área Industrial
RO;Ariquemes;Loteamento Renascer
RO;Ariquemes;Apoio Social
RO;Ariquemes;Residencial Alvorada
RO;Ariquemes;Raio de Luz
RO;Ariquemes;Marechal Rondon 02
RO;Ariquemes;Trevo
RO;Ariquemes;São Geraldo
RO;Ariquemes;Monte Alegre
RO;Ariquemes;Jardim América
RO;Ariquemes;Nova Vida
RO;Ariquemes;Nova União 01
RO;Ariquemes;Park Tropical
RO;Ariquemes;Jardim Vitória
RO;Ariquemes;Residencial Eldorado
RO;Ariquemes;Bom Futuro
RO;Ariquemes;Bela Vista
RO;Ariquemes;Condomínio São Paulo
RO;Ariquemes;Centro/Bom Futuro
RO;Cabixi;Centro
RO;Cacoal;Novo Horizonte
RO;Cacoal;Vila Verde
RO;Cacoal;Nova Esperança
RO;Cacoal;Princesa Isabel
RO;Cacoal;Sete de Setembro
RO;Cacoal;Incra
RO;Cacoal;Novo Cacoal
RO;Cacoal;Jardim Limoeiro
RO;Cacoal;Sociedade Bela Vista
RO;Cacoal;Jardim Bandeirantes
RO;Cacoal;Vista Alegre
RO;Cacoal;Centro
RO;Cacoal;Jardim Itália I
RO;Cacoal;Habitar Brasil II
RO;Cacoal;Josino Brito
RO;Cacoal;Conjunto Halley
RO;Cacoal;Habitar Brasil
RO;Cacoal;Jardim São Pedro I
RO;Cacoal;Chácaras Brizon
RO;Cacoal;Residencial Parque Brizon
RO;Cacoal;Balneário Arco-Íris
RO;Cacoal;Jardim Clodoaldo
RO;Cacoal;Village do Sol
RO;Cacoal;Jardim Saúde
RO;Cacoal;Village do Sol II
RO;Cacoal;Alpha Parque
RO;Cacoal;Teixeirão
RO;Cacoal;Eldorado
RO;Cacoal;Floresta
RO;Cacoal;Embratel
RO;Cacoal;Liberdade
RO;Cacoal;Santo Antônio
RO;Cacoal;Jardim Europa
RO;Cacoal;Industrial
RO;Cacoal;Parque Industrial Governador Jeronimo Santana
RO;Cacoal;Jardim Itália II
RO;Cacoal;Alphaville
RO;Cacoal;Jardim São Pedro II
RO;Cacoal;Parque Fortaleza
RO;Cacoal;Morada do Sol
RO;Cacoal;Vila Romana
RO;Cacoal;Residencial Parque Alvorada
RO;Cacoal;Jardim Paulista
RO;Cerejeiras;Centro
RO;Colorado do Oeste;Centro
RO;Corumbiara;Centro
RO;Costa Marques;Centro
RO;Costa Marques;Príncipe da Beira
RO;Jaru;Centro
RO;Jaru;Santa Cruz
RO;Jaru;Bom Jesus
RO;Jaru;Tarilândia
RO;Jaru;Centro/Tarilândia
RO;Ouro Preto do Oeste;Centro
RO;Pimenta Bueno;Centro
RO;Pimenta Bueno;Marco Rondon
RO;Porto Velho;Floresta
RO;Porto Velho;Pantanal
RO;Porto Velho;Eldorado
RO;Porto Velho;Centro
RO;Porto Velho;Tiradentes
RO;Porto Velho;Tucumanzal
RO;Porto Velho;Olaria
RO;Porto Velho;Industrial
RO;Porto Velho;Rio Madeira
RO;Porto Velho;KM 1
RO;Porto Velho;Triângulo
RO;Porto Velho;Agenor de Carvalho
RO;Porto Velho;Nossa Senhora das Graças
RO;Porto Velho;Tupy
RO;Porto Velho;Eletronorte
RO;Porto Velho;Mariana
RO;Porto Velho;Flodoaldo Pontes Pinto
RO;Porto Velho;Aponiã
RO;Porto Velho;Cidade Nova
RO;Porto Velho;Arigolândia
RO;Porto Velho;Liberdade
RO;Porto Velho;São João Bosco
RO;Porto Velho;São Cristóvão
RO;Porto Velho;Costa e Silva
RO;Porto Velho;Mocambo
RO;Porto Velho;Santa Bárbara
RO;Porto Velho;Areal
RO;Porto Velho;Mato Grosso
RO;Porto Velho;Nova Floresta
RO;Porto Velho;Nova Porto Velho
RO;Porto Velho;Roque
RO;Porto Velho;Cohab
RO;Porto Velho;Caladinho
RO;Porto Velho;Conceição
RO;Porto Velho;Novo Horizonte
RO;Porto Velho;Areia Branca
RO;Porto Velho;Cidade do Lobo
